proper_colour_name,proper_colour,x,y,latitude,longitude
orange,"[235, 52, 0]",1633,1523,53.31485394750607,-6.231261749392613
yellow,"[235, 52, 0]",1329,1523,53.31486166721229,-6.264225538588084
yellow,"[235, 52, 0]",1177,1523,53.3148655270654,-6.28070743318582
yellow,"[235, 52, 0]",1050,1523,53.31486875207425,-6.294478489856297
yellow,"[235, 52, 0]",898,1523,53.31487261192736,-6.310960384454033
yellow,"[235, 52, 0]",1633,1511,53.31563125201444,-6.23126084615823
red,"[235, 52, 0]",1519,1511,53.31563414690427,-6.243622267106532
yellow,"[235, 52, 0]",1493,1511,53.31563480714231,-6.246441538550882
yellow,"[235, 52, 0]",1316,1511,53.31563930183968,-6.265634271075877
yellow,"[235, 52, 0]",1265,1511,53.315640596921966,-6.271164380447486
yellow,"[235, 52, 0]",1177,1511,53.31564283157377,-6.280706529951438
red,"[235, 52, 0]",1012,1511,53.31564702154589,-6.298598060271348
red,"[235, 52, 0]",911,1511,53.31564958631671,-6.309549845497475
yellow,"[235, 52, 0]",873,1511,53.31565055127999,-6.313670319146909
red,"[235, 52, 0]",1836,1498,53.31646817696311,-6.209247863684972
yellow,"[235, 52, 0]",1735,1498,53.31647074173392,-6.220199648911099
