proper_colour_name,proper_colour,x,y,latitude,longitude
yellow,"[235, 52, 0]",531,1169,53.33781241443806,-6.350728839811922
green,"[96, 184, 23]",607,1156,53.33865256439558,-6.34248691400914
green,"[96, 184, 23]",683,1143,53.33949271435309,-6.334244988206359
yellow,"[235, 52, 0]",645,1143,53.33949367931637,-6.338365461855792
green,"[96, 184, 23]",607,1143,53.33949464427965,-6.342485935505226
yellow,"[235, 52, 0]",341,1143,53.33950139902259,-6.371329251051264
green,"[96, 184, 23]",1265,1131,53.34025523968707,-6.271135778025382
green,"[96, 184, 23]",683,1131,53.34027001886147,-6.334244084971976
green,"[96, 184, 23]",607,1131,53.34027194878802,-6.342485032270844
green,"[96, 184, 23]",581,1131,53.34027260902605,-6.345304303715193
green,"[96, 184, 23]",353,1131,53.34027839880572,-6.370027145611797
orange,"[235, 52, 0]",328,1131,53.34027903364998,-6.372737983539056
green,"[96, 184, 23]",1063,1118,53.34110244911277,-6.293038369973722
green,"[96, 184, 23]",708,1118,53.34111146390127,-6.331532268540803
yellow,"[235, 52, 0]",695,1118,53.34111179402029,-6.332941904262977
green,"[96, 184, 23]",607,1118,53.34111402867209,-6.342484053766929
green,"[96, 184, 23]",341,1118,53.34112078341503,-6.371327369312968
green,"[96, 184, 23]",328,1118,53.34112111353405,-6.372737005035142
yellow,"[235, 52, 0]",1583,1105,53.3419313242362,-6.236651962582817
green,"[96, 184, 23]",695,1105,53.34195387390436,-6.332940925759063
green,"[96, 184, 23]",632,1105,53.3419554737119,-6.339772237335756
green,"[96, 184, 23]",594,1105,53.341956438675176,-6.34389271098519
green,"[96, 184, 23]",417,1105,53.34196093337255,-6.363085443510186
green,"[96, 184, 23]",227,1105,53.34196575818893,-6.383687811757355
yellow,"[235, 52, 0]",1557,1093,53.34270928898261,-6.239470330792785
green,"[96, 184, 23]",923,1093,53.34272538863307,-6.308217180628078
green,"[96, 184, 23]",923,1080,53.343567468517136,-6.308216202124164
green,"[96, 184, 23]",733,1080,53.34357229333352,-6.328818570371333
green,"[96, 184, 23]",721,1080,53.34357259805877,-6.330119772576418
green,"[96, 184, 23]",645,1080,53.343574527985325,-6.338360719875285
green,"[96, 184, 23]",936,1067,53.34440921828219,-6.306805587898075
green,"[96, 184, 23]",556,1067,53.34441886791496,-6.348010324392414
green,"[96, 184, 23]",543,1067,53.344419198033975,-6.349419960114589
yellow,"[235, 52, 0]",442,1067,53.34442176280479,-6.360371745340716
green,"[96, 184, 23]",417,1067,53.344422397649055,-6.363082583267975
red,"[235, 52, 0]",1025,1055,53.34518426274499,-6.29715410164265
green,"[96, 184, 23]",467,1055,53.345198432468905,-6.357660004179075
green,"[96, 184, 23]",455,1055,53.34519873719415,-6.358961206384159
yellow,"[235, 52, 0]",429,1055,53.34519939743218,-6.361780477828509
green,"[96, 184, 23]",594,1042,53.34603728734413,-6.343887969004684
green,"[96, 184, 23]",569,1042,53.34603792218839,-6.346598806931943
green,"[96, 184, 23]",1265,1029,53.34686232800822,-6.271128100533134
green,"[96, 184, 23]",581,1029,53.34687969734721,-6.345296626222945
green,"[96, 184, 23]",505,1029,53.34688162727377,-6.3535375735218125
green,"[96, 184, 23]",493,1017,53.34765923650738,-6.3548378724925145
green,"[96, 184, 23]",581,1004,53.34849908173965,-6.345294744484648
green,"[96, 184, 23]",455,1004,53.348502281354726,-6.358957367638035
yellow,"[235, 52, 0]",581,991,53.34934116162372,-6.345293765980735
green,"[96, 184, 23]",1608,979,53.35009238672984,-6.233931640694545
yellow,"[235, 52, 0]",1367,979,53.35009850662852,-6.260064118313323
yellow,"[235, 52, 0]",1189,979,53.35010302671966,-6.279365284355409
green,"[96, 184, 23]",480,979,53.350121030902905,-6.35624464797248
green,"[96, 184, 23]",645,966,53.35095892081485,-6.338352139148655
green,"[96, 184, 23]",1088,941,53.35256705576698,-6.290314209339326
yellow,"[235, 52, 0]",1075,941,53.352567385886,-6.2917238450615
yellow,"[235, 52, 0]",1037,941,53.35256835084928,-6.295844318710935
green,"[96, 184, 23]",911,941,53.352571550464354,-6.309506941864321
green,"[96, 184, 23]",1088,928,53.35340913565105,-6.290313230835412
green,"[96, 184, 23]",1113,890,53.3558699650833,-6.287599532665942
green,"[96, 184, 23]",1113,864,53.35755412485144,-6.287597575658114
green,"[96, 184, 23]",1075,864,53.35755508981472,-6.291718049307548
green,"[96, 184, 23]",1037,864,53.357556054778,-6.2958385229569815
green,"[96, 184, 23]",949,864,53.35755828942979,-6.305380672460935
green,"[96, 184, 23]",1481,851,53.35838685982798,-6.247693062864945
green,"[96, 184, 23]",1101,851,53.35839650946075,-6.288897799359284
green,"[96, 184, 23]",1025,851,53.35839843938731,-6.2971387466581525
yellow,"[235, 52, 0]",999,851,53.35839909962534,-6.299958018102502
green,"[96, 184, 23]",1189,839,53.35917157931733,-6.27935474662095
green,"[96, 184, 23]",1177,839,53.35917188404257,-6.280655948826034
yellow,"[235, 52, 0]",1164,839,53.35917221416158,-6.282065584548209
yellow,"[235, 52, 0]",1101,839,53.35917381396912,-6.288896896124903
green,"[96, 184, 23]",1177,826,53.36001396392664,-6.28065497032212
orange,"[235, 52, 0]",1101,826,53.3600158938532,-6.288895917620988
green,"[96, 184, 23]",1075,826,53.36001655409122,-6.2917151890653376
green,"[96, 184, 23]",961,826,53.360019448981056,-6.30407661001364
green,"[96, 184, 23]",1215,813,53.36085507884743,-6.2765335181687725
yellow,"[235, 52, 0]",1063,813,53.36085893870054,-6.293015412766508
green,"[96, 184, 23]",1037,813,53.36085959893857,-6.295834684210858
green,"[96, 184, 23]",1012,813,53.36086023378283,-6.298545522138117
green,"[96, 184, 23]",974,813,53.36086119874611,-6.30266599578755
green,"[96, 184, 23]",1215,801,53.36163238335581,-6.27653261493439
yellow,"[235, 52, 0]",1202,801,53.36163271347482,-6.277942250656564
green,"[96, 184, 23]",1177,801,53.36163334831908,-6.280653088583824
yellow,"[235, 52, 0]",1164,801,53.361633678438096,-6.282062724305999
green,"[96, 184, 23]",1012,801,53.361637538291205,-6.298544618903734
green,"[96, 184, 23]",987,801,53.36163817313546,-6.301255456830994
yellow,"[235, 52, 0]",974,801,53.36163850325448,-6.302665092553169
green,"[96, 184, 23]",949,801,53.36163913809874,-6.305375930480428
green,"[96, 184, 23]",936,801,53.36163946821776,-6.306785566202603
yellow,"[235, 52, 0]",923,801,53.361639798336775,-6.308195201924777
green,"[96, 184, 23]",1544,788,53.36246610868939,-6.240857009307745
green,"[96, 184, 23]",1202,788,53.362474793358885,-6.277941272152651
yellow,"[235, 52, 0]",1189,788,53.3624751234779,-6.279350907874825
green,"[96, 184, 23]",1139,788,53.362476393166425,-6.284772583729344
green,"[96, 184, 23]",1050,788,53.362478653212,-6.294423166750386
green,"[96, 184, 23]",1025,788,53.36247928805626,-6.297134004677646
yellow,"[235, 52, 0]",936,788,53.36248154810183,-6.306784587698688
yellow,"[235, 52, 0]",923,788,53.36248187822084,-6.308194223420864
green,"[96, 184, 23]",1519,775,53.363308823417725,-6.24356686873109
yellow,"[235, 52, 0]",1202,775,53.36331687324296,-6.2779402936487365
yellow,"[235, 52, 0]",1025,775,53.36332136794032,-6.297133026173731
yellow,"[235, 52, 0]",949,775,53.36332329786688,-6.3053739734726
