proper_colour_name,proper_colour,x,y,latitude,longitude
green,"[96, 184, 23]",1240,1637,53.30747953442833,-6.273884702335757
green,"[96, 184, 23]",1227,1637,53.30747986454735,-6.2752943380579325
yellow,"[235, 52, 0]",1215,1637,53.307480169272594,-6.276595540263017
yellow,"[235, 52, 0]",1202,1637,53.30748049939161,-6.278005175985192
green,"[96, 184, 23]",1189,1637,53.307480829510624,-6.279414811707366
green,"[96, 184, 23]",1177,1637,53.30748113423587,-6.280716013912451
green,"[96, 184, 23]",1164,1637,53.307481464354886,-6.282125649634626
yellow,"[235, 52, 0]",1151,1637,53.3074817944739,-6.2835352853568
green,"[96, 184, 23]",1126,1637,53.30748242931816,-6.28624612328406
green,"[96, 184, 23]",1113,1637,53.30748275943718,-6.287655759006234
green,"[96, 184, 23]",1101,1637,53.307483064162426,-6.288956961211318
green,"[96, 184, 23]",1075,1637,53.307483724400456,-6.2917762326556685
green,"[96, 184, 23]",1063,1637,53.3074840291257,-6.293077434860753
green,"[96, 184, 23]",1050,1637,53.30748435924472,-6.294487070582927
yellow,"[235, 52, 0]",1037,1637,53.30748468936373,-6.295896706305102
green,"[96, 184, 23]",1025,1637,53.30748499408898,-6.297197908510187
green,"[96, 184, 23]",1012,1637,53.307485324208,-6.298607544232361
yellow,"[235, 52, 0]",999,1637,53.30748565432701,-6.300017179954536
yellow,"[235, 52, 0]",987,1637,53.30748595905226,-6.301318382159621
green,"[96, 184, 23]",1455,1625,53.30825137927606,-6.250570592926946
red,"[235, 52, 0]",1430,1625,53.30825201412031,-6.253281430854206
yellow,"[235, 52, 0]",1417,1625,53.308252344239335,-6.25469106657638
yellow,"[235, 52, 0]",1405,1625,53.308252648964576,-6.255992268781465
green,"[96, 184, 23]",1392,1625,53.30825297908359,-6.25740190450364
red,"[235, 52, 0]",1367,1625,53.30825361392785,-6.260112742430898
green,"[96, 184, 23]",1354,1625,53.30825394404687,-6.2615223781530736
green,"[96, 184, 23]",1341,1625,53.30825427416589,-6.262932013875249
green,"[96, 184, 23]",1316,1625,53.30825490901015,-6.265642851802507
yellow,"[235, 52, 0]",1303,1625,53.30825523912916,-6.2670524875246825
yellow,"[235, 52, 0]",1291,1625,53.30825554385441,-6.268353689729767
green,"[96, 184, 23]",1278,1625,53.30825587397342,-6.269763325451941
red,"[235, 52, 0]",1265,1625,53.30825620409244,-6.271172961174116
green,"[96, 184, 23]",1253,1625,53.308256508817685,-6.272474163379201
green,"[96, 184, 23]",1240,1625,53.3082568389367,-6.273883799101376
yellow,"[235, 52, 0]",1227,1625,53.30825716905572,-6.27529343482355
yellow,"[235, 52, 0]",1215,1625,53.30825747378096,-6.2765946370286345
green,"[96, 184, 23]",1202,1625,53.30825780389998,-6.27800427275081
yellow,"[235, 52, 0]",1189,1625,53.30825813401899,-6.279413908472984
green,"[96, 184, 23]",1177,1625,53.30825843874424,-6.280715110678068
orange,"[235, 52, 0]",1164,1625,53.30825876886325,-6.282124746400243
green,"[96, 184, 23]",1151,1625,53.30825909898227,-6.2835343821224185
green,"[96, 184, 23]",1139,1625,53.30825940370752,-6.284835584327502
green,"[96, 184, 23]",1126,1625,53.30825973382653,-6.286245220049677
green,"[96, 184, 23]",1113,1625,53.308260063945546,-6.287654855771852
yellow,"[235, 52, 0]",1063,1625,53.30826133363407,-6.293076531626371
green,"[96, 184, 23]",1050,1625,53.308261663753086,-6.294486167348545
yellow,"[235, 52, 0]",1037,1625,53.3082619938721,-6.29589580307072
yellow,"[235, 52, 0]",1025,1625,53.30826229859735,-6.297197005275804
green,"[96, 184, 23]",1012,1625,53.30826262871636,-6.29860664099798
green,"[96, 184, 23]",999,1625,53.30826295883538,-6.300016276720154
green,"[96, 184, 23]",987,1625,53.30826326356063,-6.301317478925238
green,"[96, 184, 23]",1468,1612,53.30909312904111,-6.249159978700858
green,"[96, 184, 23]",1455,1612,53.30909345916013,-6.250569614423032
green,"[96, 184, 23]",1443,1612,53.30909376388537,-6.2518708166281165
green,"[96, 184, 23]",1430,1612,53.30909409400439,-6.253280452350292
