proper_colour_name,proper_colour,x,y,latitude,longitude
yellow,"[205, 220, 57]",1265,1536,53.31402121252953,-6.2711662621857815
yellow,"[205, 220, 57]",1253,1536,53.31402151725477,-6.272467464390866
yellow,"[205, 220, 57]",1240,1536,53.31402184737379,-6.273877100113041
yellow,"[205, 220, 57]",1227,1536,53.3140221774928,-6.275286735835215
red,"[235, 52, 0]",1215,1536,53.31402248221805,-6.2765879380403
yellow,"[205, 220, 57]",1202,1536,53.314022812337065,-6.277997573762475
green,"[96, 184, 23]",1139,1536,53.314024412144605,-6.284828885339168
green,"[96, 184, 23]",1113,1536,53.31402507238264,-6.287648156783518
yellow,"[205, 220, 57]",1037,1536,53.31402700230919,-6.295889104082385
green,"[96, 184, 23]",1025,1536,53.31402730703444,-6.29719030628747
yellow,"[205, 220, 57]",999,1536,53.31402796727247,-6.300009577731819
red,"[235, 52, 0]",1709,1523,53.31485201757952,-6.223020802093744
red,"[235, 52, 0]",1646,1523,53.31485361738706,-6.229852113670438
orange,"[255, 152, 0]",1633,1523,53.31485394750607,-6.231261749392613
yellow,"[205, 220, 57]",1608,1523,53.314854582350335,-6.233972587319872
yellow,"[205, 220, 57]",1329,1523,53.31486166721229,-6.264225538588084
yellow,"[205, 220, 57]",1227,1523,53.31486425737688,-6.275285757331302
yellow,"[205, 220, 57]",1177,1523,53.3148655270654,-6.28070743318582
yellow,"[205, 220, 57]",1088,1523,53.31486778711097,-6.290358016206863
yellow,"[205, 220, 57]",1050,1523,53.31486875207425,-6.294478489856297
yellow,"[205, 220, 57]",1025,1523,53.3148693869185,-6.297189327783555
yellow,"[205, 220, 57]",999,1523,53.31487004715654,-6.300008599227906
red,"[235, 52, 0]",898,1523,53.31487261192736,-6.310960384454033
red,"[235, 52, 0]",1684,1511,53.31562995693215,-6.2257307367866215
yellow,"[205, 220, 57]",1633,1511,53.31563125201444,-6.23126084615823
red,"[235, 52, 0]",1519,1511,53.31563414690427,-6.243622267106532
yellow,"[205, 220, 57]",1493,1511,53.31563480714231,-6.246441538550882
yellow,"[205, 220, 57]",1316,1511,53.31563930183968,-6.265634271075877
yellow,"[205, 220, 57]",1265,1511,53.315640596921966,-6.271164380447486
yellow,"[205, 220, 57]",1240,1511,53.31564123176623,-6.273875218374744
green,"[96, 184, 23]",1177,1511,53.31564283157377,-6.280706529951438
green,"[96, 184, 23]",1164,1511,53.31564316169278,-6.282116165673612
green,"[96, 184, 23]",1126,1511,53.31564412665606,-6.286236639323047
green,"[96, 184, 23]",1113,1511,53.31564445677508,-6.287646275045221
green,"[96, 184, 23]",1063,1511,53.3156457264636,-6.293067950899739
red,"[235, 52, 0]",1012,1511,53.31564702154589,-6.298598060271348
yellow,"[205, 220, 57]",911,1511,53.31564958631671,-6.309549845497475
yellow,"[205, 220, 57]",873,1511,53.31565055127999,-6.313670319146909
red,"[235, 52, 0]",1836,1498,53.31646817696311,-6.209247863684972
green,"[96, 184, 23]",1811,1498,53.316468811807376,-6.211958701612231
yellow,"[205, 220, 57]",1735,1498,53.31647074173392,-6.220199648911099
red,"[235, 52, 0]",1684,1498,53.31647203681622,-6.225729758282707
red,"[235, 52, 0]",1621,1498,53.31647363662376,-6.2325610698594005
red,"[235, 52, 0]",1595,1498,53.31647429686179,-6.23538034130375
yellow,"[205, 220, 57]",1506,1498,53.31647655690736,-6.245030924324793
red,"[235, 52, 0]",1265,1498,53.31648267680604,-6.271163401943571
yellow,"[205, 220, 57]",1253,1498,53.31648298153128,-6.272464604148656
yellow,"[205, 220, 57]",1240,1498,53.3164833116503,-6.27387423987083
green,"[96, 184, 23]",1177,1498,53.31648491145784,-6.280705551447523
green,"[96, 184, 23]",1164,1498,53.316485241576856,-6.2821151871696985
yellow,"[205, 220, 57]",1151,1498,53.31648557169587,-6.283524822891873
yellow,"[205, 220, 57]",1126,1498,53.31648620654013,-6.286235660819132
yellow,"[205, 220, 57]",1075,1498,53.316487501622426,-6.291765770190741
yellow,"[205, 220, 57]",1025,1498,53.316488771310944,-6.29718744604526
red,"[235, 52, 0]",936,1498,53.31649103135651,-6.306838029066302
yellow,"[205, 220, 57]",1760,1485,53.31731218677373,-6.217487832479925
red,"[235, 52, 0]",1722,1485,53.31731315173701,-6.22160830612936
yellow,"[205, 220, 57]",1709,1485,53.317313481856026,-6.223017941851534
yellow,"[205, 220, 57]",1671,1485,53.3173144468193,-6.227138415500968
red,"[235, 52, 0]",1633,1485,53.31731541178258,-6.231258889150402
yellow,"[205, 220, 57]",1608,1485,53.31731604662684,-6.233969727077661
red,"[235, 52, 0]",1519,1485,53.31731830667241,-6.243620310098704
red,"[235, 52, 0]",1443,1485,53.31732023659897,-6.251861257397572
yellow,"[205, 220, 57]",1417,1485,53.317320896837,-6.254680528841922
red,"[235, 52, 0]",1392,1485,53.31732153168126,-6.2573913667691805
